Государство;1; Азербайджан
Государство;2; Армения
Государство;3; Белоруссия
Государство;4; Казахстан
Государство;5; Киргизия
Государство;6; Молдавия
Государство;7; Россия
Государство;8; Таджикистан
Государство;9; Туркмения
Государство;10; Узбекистан
Государство;11; Украина
Направление МО/ Округ Москвы;1;Алтуфьевское
Направление МО/ Округ Москвы;2;Борисовское
Направление МО/ Округ Москвы;3;Быковское
Направление МО/ Округ Москвы;4;Боровское
Направление МО/ Округ Москвы;5;Варшавское
Направление МО/ Округ Москвы;6;Волоколамское
Направление МО/ Округ Москвы;7;Горьковское
Направление МО/ Округ Москвы;8;Дзержинское
Направление МО/ Округ Москвы;9;Домодедовское
Направление МО/ Округ Москвы;10;Дмитровское
Направление МО/ Округ Москвы;11;Дмитровское/Рогачевское
Направление МО/ Округ Москвы;12;Егорьевское
Направление МО/ Округ Москвы;13;Ильинское
Направление МО/ Округ Москвы;14;Калужское
Направление МО/ Округ Москвы;15;Калужское/Киевское
Направление МО/ Округ Москвы;16;Каширское
Направление МО/ Округ Москвы;17;Киевское
Направление МО/ Округ Москвы;18;Куркинское
Направление МО/ Округ Москвы;19;Ленинградское
Направление МО/ Округ Москвы;20;Лихачевское
Направление МО/ Округ Москвы;21;М4
Направление МО/ Округ Москвы;22;Минское
Направление МО/ Округ Москвы;23;Можайское
Направление МО/ Округ Москвы;24;Молоковское
Направление МО/ Округ Москвы;25;Новокаширское
Направление МО/ Округ Москвы;26;Новорижское
Направление МО/ Округ Москвы;27;Новорижское/Минское
Направление МО/ Округ Москвы;28;Новорязанское
Направление МО/ Округ Москвы;29;Новосходненское
Направление МО/ Округ Москвы;30;Носовихинское
Направление МО/ Округ Москвы;31;Октябрьский проспект
Направление МО/ Округ Москвы;32;Осташковское
Направление МО/ Округ Москвы;33;Петровское
Направление МО/ Округ Москвы;34;Путилковское
Направление МО/ Округ Москвы;35;Пятницкое
Направление МО/ Округ Москвы;36;Рогачевское
Направление МО/ Округ Москвы;37;Рублево-Успенское
Направление МО/ Округ Москвы;38;Рязанское
Направление МО/ Округ Москвы;39;Симферопольское
Направление МО/ Округ Москвы;40;Сколковское
Направление МО/ Округ Москвы;41;Съезд со МКАД
Направление МО/ Округ Москвы;42;Щелковское
Направление МО/ Округ Москвы;43;Щелковское/Горьковское
Направление МО/ Округ Москвы;44;Энтузиастов
Направление МО/ Округ Москвы;45;Ярославское
Направление МО/ Округ Москвы;46;Ярославское/Осташковское
Направление МО/ Округ Москвы;47;ВАО
Направление МО/ Округ Москвы;48;ЗАО
Направление МО/ Округ Москвы;49;ЗелАО
Направление МО/ Округ Москвы;50;НАО
Направление МО/ Округ Москвы;51;САО
Направление МО/ Округ Москвы;52;СВАО
Направление МО/ Округ Москвы;53;СЗАО
Направление МО/ Округ Москвы;54;ТАО
Направление МО/ Округ Москвы;55;ЦАО
Направление МО/ Округ Москвы;56;ЮАО
Направление МО/ Округ Москвы;57;ЮВАО
Направление МО/ Округ Москвы;58;ЮЗАО
дом экономического класса (на основании приказа минрегиона россии от 28.06.10 № 303);1;Да
дом экономического класса (на основании приказа минрегиона россии от 28.06.10 № 303);2;Нет
